Company Name,Domain,Website,LinkedIn URL,Founded Year,Revenue,Revenue (USD),Tier,SaaS Status & Reason
BigPanda,bigpanda.io,https://www.bigpanda.io,https://www.linkedin.com/company/bigpanda,2012.0,55M,55000000.0,Tier 1,True
Vendr,vendr.com,https://www.vendr.com,https://www.linkedin.com/company/vendr-co,2019.0,94.8M,94800000.0,Tier 1,True
Island,island.io,https://www.island.io,https://www.linkedin.com/company/island-io,2020.0,87M,87000000.0,Tier 1,True
Jungle Scout,junglescout.com,https://www.junglescout.com,https://www.linkedin.com/company/junglescout,2015.0,19.8M,19800000.0,Tier 1,True
Bitly,bitly.com,https://www.bitly.com,https://www.linkedin.com/company/bitly,2008.0,100M,100000000.0,Tier 1,True
Aviso AI,aviso.com,https://www.aviso.com,https://www.linkedin.com/company/aviso-inc,2014.0,37M,37000000.0,Tier 1,True
FloQast,floqast.com,https://www.floqast.com,https://www.linkedin.com/company/floqast,2013.0,200M,200000000.0,Tier 1,True
Shoplazza,shoplazza.com,https://www.shoplazza.com,https://www.linkedin.com/company/shoplazza,2017.0,33.8M,33800000.0,Tier 1,True
BillingPlatform,billingplatform.com,https://www.billingplatform.com,https://www.linkedin.com/company/billingplatform,2012.0,25.3M,25300000.0,Tier 1,True
Aurora Solar,aurorasolar.com,https://www.aurorasolar.com,https://www.linkedin.com/company/aurora-solar,2013.0,35M,35000000.0,Tier 1,True
CharterUP,charterup.com,https://www.charterup.com,https://www.linkedin.com/company/charterup,2018.0,24M,24000000.0,Tier 1,True
Contentstack,contentstack.com,https://www.contentstack.com,https://www.linkedin.com/company/contentstack,2018.0,100.9M,100900000.0,Tier 1,True
Draup,draup.com,https://www.draup.com,https://www.linkedin.com/company/draupplatform,2018.0,57.8M,57800000.0,Tier 1,True
COFENSE,cofense.com,https://www.cofense.com,https://www.linkedin.com/company/cofense,2011.0,55.5M,55500000.0,Tier 1,True
Greenly | Certified B Corp,greenly.earth,https://www.greenly.earth,https://www.linkedin.com/company/greenly-earth,2019.0,110.3M,110300000.0,Tier 1,True
Goldcast,goldcast.io,https://www.goldcast.io,https://www.linkedin.com/company/goldcast,2020.0,10.8M,10800000.0,Tier 1,True
Chainguard,chainguard.dev,https://www.chainguard.dev,https://www.linkedin.com/company/chainguard-dev,2021.0,40M,40000000.0,Tier 1,True
Arcadia,arcadia.com,https://www.arcadia.com,https://www.linkedin.com/company/arcadiahq,2014.0,270M,270000000.0,Tier 1,True
AppOmni,appomni.com,https://www.appomni.com,https://www.linkedin.com/company/appomni,2018.0,54.4M,54400000.0,Tier 1,True
Recurly,recurly.com,https://www.recurly.com,https://www.linkedin.com/company/recurly,2009.0,71M,71000000.0,Tier 1,True
CHAMP,champtitles.com,https://www.champtitles.com,https://www.linkedin.com/company/champtitles,2018.0,13.2M,13200000.0,Tier 1,True
Farmers Edge,farmersedge.ca,https://www.farmersedge.ca,https://www.linkedin.com/company/farmers-edge,2005.0,15.5M,15547000.0,Tier 1,True
Teleport,goteleport.com,https://www.goteleport.com,https://www.linkedin.com/company/go-teleport,2015.0,49M,49000000.0,Tier 1,True
Scribe,scribe.com,https://www.scribe.com,https://www.linkedin.com/company/scribehow,2019.0,12.5M,12500000.0,Tier 1,True
Solutions by Text,solutionsbytext.com,https://www.solutionsbytext.com,https://www.linkedin.com/company/solutionsbytext,2008.0,80M,80000000.0,Tier 1,True
Humand,humand.co,https://www.humand.co,https://www.linkedin.com/company/humand-co,2019.0,49.8M,49800000.0,Tier 1,True
Otter.ai,otter.ai,https://www.otter.ai,https://www.linkedin.com/company/otter-ai,2016.0,100M,100000000.0,Tier 1,True
EV Connect,evconnect.com,https://www.evconnect.com,https://www.linkedin.com/company/ev-connect,2009.0,33.2M,33200000.0,Tier 1,True
Vidyard,vidyard.com,https://www.vidyard.com,https://www.linkedin.com/company/vidyard,2011.0,47.7M,47700000.0,Tier 1,True
Vectra AI,vectra.ai,https://www.vectra.ai,https://www.linkedin.com/company/vectra_ai,2011.0,150M,150000000.0,Tier 1,True
Partnerize,partnerize.com,https://www.partnerize.com,https://www.linkedin.com/company/partnerize,2010.0,65.7M,65700000.0,Tier 1,True
Lavender 💜🔮 www.ora.im,lavender.ai,https://www.lavender.ai,https://www.linkedin.com/company/itslavenderduh,2020.0,11.9M,11900000.0,Tier 1,True
Socure,socure.com,https://www.socure.com,https://www.linkedin.com/company/socure,2012.0,125.4M,125400000.0,Tier 1,True
Current Health,currenthealth.com,https://www.currenthealth.com,https://www.linkedin.com/company/currenthealth,2015.0,50M,50000000.0,Tier 1,True
Mastercard Dynamic Yield,dynamicyield.com,https://www.dynamicyield.com,https://www.linkedin.com/company/dynamic-yield,2011.0,85M,85000000.0,Tier 1,True
Bigtincan,bigtincan.com,https://www.bigtincan.com,https://www.linkedin.com/company/bigtincan,2011.0,78.1M,78075000.0,Tier 1,True
Jane App,jane.app,https://www.jane.app,https://www.linkedin.com/company/janerunsclinics,2012.0,100M,100000000.0,Tier 1,True
Slice,slice.com,https://www.slice.com,https://www.linkedin.com/company/slice,2010.0,100M,100000000.0,Tier 1,True
Disprz,disprz.ai,https://www.disprz.ai,https://www.linkedin.com/company/disprz,2015.0,12M,12000000.0,Tier 1,True
Yotpo,yotpo.com,https://www.yotpo.com,https://www.linkedin.com/company/yotpo,2011.0,213M,213000000.0,Tier 1,True
Krisp,krisp.ai,https://www.krisp.ai,https://www.linkedin.com/company/krisphq,2017.0,37.7M,37700000.0,Tier 1,True
Fullbay,fullbay.com,https://www.fullbay.com,https://www.linkedin.com/company/fullbay,2014.0,19.4M,19400000.0,Tier 1,True
