"Company Name","Domain","New Column","Website","LinkedIn URL","Founded Year","Revenue","Revenue (USD)","Tier","SaaS Status & Reason"
"SecurityScorecard","securityscorecard.com",,"http://www.securityscorecard.com","http://www.linkedin.com/company/security-scorecard","2013","144.3M",144300000,"Tier 1","true"
"ChurnZero","churnzero.com",,"http://www.churnzero.com","http://www.linkedin.com/company/churnzero","2015","180.8M",180800000,"Tier 1","true"
"Lusha","lusha.com",,"http://www.lusha.com","http://www.linkedin.com/company/lushadata","2016","64.4M",64400000,"Tier 1","true"
"Lookout","lookout.com",,"http://www.lookout.com","http://www.linkedin.com/company/lookout","2007","72.5M",72500000,"Tier 1","true"
"Salsify","salsify.com",,"http://www.salsify.com","http://www.linkedin.com/company/salsify","2012","200M",200000000,"Tier 1","true"
"Incorta","incorta.com",,"http://www.incorta.com","http://www.linkedin.com/company/incorta","2013","29.4M",29400000,"Tier 1","true"
"Testlio","testlio.com",,"http://www.testlio.com","http://www.linkedin.com/company/testlio","2012","75.6M",75600000,"Tier 1","true"
"Aper","aper.com",,"http://www.aper.com","http://www.linkedin.com/company/aperlatam","2016","25.4M",25400000,"Tier 1","true"
"Biz2Credit","biz2credit.com",,"http://www.biz2credit.com","http://www.linkedin.com/company/biz2credit-inc","2007","55M",55000000,"Tier 1","false"
"TATCHA","tatcha.com",,"http://www.tatcha.com","http://www.linkedin.com/company/tatcha-inc","2009","130M",130000000,"Tier 1","false"
"Pinecone","pinecone.io",,"http://www.pinecone.io","http://www.linkedin.com/company/pinecone-io","2019","26.6M",26600000,"Tier 1","true"
"Amenify","amenify.com",,"http://www.amenify.com","http://www.linkedin.com/company/amenify","2017","8M",8000000,"Tier 1","true"
"Summit Partners","summitpartners.com",,"http://www.summitpartners.com","http://www.linkedin.com/company/summit-partners","1984","75M",75000000,"Tier 1","false"
"Sureify","sureify.com",,"http://www.sureify.com","http://www.linkedin.com/company/sureify-com","2012","38.9M",38900000,"Tier 1","true"
"Planful","planful.com",,"http://www.planful.com","http://www.linkedin.com/company/planful-inc","2000","100M",100000000,"Tier 1","true"
"Mixpanel","mixpanel.com",,"http://www.mixpanel.com","http://www.linkedin.com/company/mixpanel-inc-","2009","210M",210000000,"Tier 1","true"
"Nooks","nooks.ai",,"http://www.nooks.ai","http://www.linkedin.com/company/nooksapp","2020","247K",247000,"Tier 1","true"
"Honest Health","honesthealth.com",,"http://www.honesthealth.com","http://www.linkedin.com/company/we-are-honest-health",,"1.6B",1600000000,"Tier 1","false"
"Tillster","tillster.com",,"http://www.tillster.com","http://www.linkedin.com/company/tillster","2002","29.6M",29562000,"Tier 1","true"
"OpenX","openx.com",,"http://www.openx.com","http://www.linkedin.com/company/openx","2007","200M",200000000,"Tier 1","true"
"Beyond","beyondpricing.com",,"http://www.beyondpricing.com","http://www.linkedin.com/company/beyond-pricing","2013","63M",63000000,"Tier 1","true"
"FarEye","fareye.com",,"http://www.fareye.com","http://www.linkedin.com/company/fareye","2013","23M",23000000,"Tier 1","true"
"Branch","branch.io",,"http://www.branch.io","http://www.linkedin.com/company/branch-metrics","2014","72M",72000000,"Tier 1","true"
"Zenwork, Inc","zenwork.com",,"http://www.zenwork.com","http://www.linkedin.com/company/zenworkinc","2011","19.1M",19100000,"Tier 1","true"
"Eltropy","eltropy.com",,"http://www.eltropy.com","http://www.linkedin.com/company/eltropy","2013","12.5M",12500000,"Tier 1","true"
"Twilio Segment","segment.com",,"http://www.segment.com","http://www.linkedin.com/company/segment-io","2012","297.7M",297700000,"Tier 1","true"
"Persado","persado.com",,"http://www.persado.com","http://www.linkedin.com/company/persado","2012","55M",55000000,"Tier 1","true"
"Spyne","spyne.ai",,"http://www.spyne.ai","http://www.linkedin.com/company/spyne-ai","2018","18.4M",18400000,"Tier 1","true"
"Sage Intacct, Inc.","sageintacct.com",,"http://www.sageintacct.com","http://www.linkedin.com/company/sageintacct","1999","620M",620000000,"Tier 1","true"
"Maxio","maxio.com",,"http://www.maxio.com","http://www.linkedin.com/company/wearemaxio","2009","49.4M",49400000,"Tier 1","true"
"BoomerangFX","boomerangfx.com",,"http://www.boomerangfx.com","http://www.linkedin.com/company/boomerangfx",,"",,"Tier 1","true"
"ExactTarget","",,"","http://www.linkedin.com/company/exacttarget","2001","",,"Tier 1",
"Zylo","zylo.com",,"http://www.zylo.com","http://www.linkedin.com/company/zyloapp","2016","6.1M",6100000,"Tier 1","true"
"Modern Campus","moderncampus.com",,"http://www.moderncampus.com","http://www.linkedin.com/company/moderncampus","2018","35M",35000000,"Tier 1","true"
"Zovio","zovio.com",,"http://www.zovio.com","http://www.linkedin.com/company/zovio","2019","287M",287000000,"Tier 1","false"
"Indigo Slate","indigoslate.com",,"http://www.indigoslate.com","http://www.linkedin.com/company/indigo-slate","2006","20M",20000000,"Tier 1","false"
"Integrate","integrate.com",,"http://www.integrate.com","http://www.linkedin.com/company/integrate-","2010","72.2M",72200000,"Tier 1","true"
"Stova","stova.io",,"http://www.stova.io","http://www.linkedin.com/company/stova",,"24.6M",24600000,"Tier 1","true"
"Unbounce","unbounce.com",,"http://www.unbounce.com","http://www.linkedin.com/company/unbounce","2009","35.4M",35400000,"Tier 1","true"
"Deliverect","deliverect.com",,"http://www.deliverect.com","http://www.linkedin.com/company/deliverecthq","2018","44.7M",44700000,"Tier 1","true"
"Headout","headout.com",,"http://www.headout.com","http://www.linkedin.com/company/headout-com","2015","130M",130000000,"Tier 1","false"
"Acceldata","acceldata.io",,"http://www.acceldata.io","http://www.linkedin.com/company/acceldata","2018","35M",35000000,"Tier 1","true"
"Xoxoday","xoxoday.com",,"http://www.xoxoday.com","http://www.linkedin.com/company/xoxoday","2012","26M",26000000,"Tier 1","true"
"Accela","accela.com",,"http://www.accela.com","http://www.linkedin.com/company/accela-inc-","1999","144.4M",144400000,"Tier 1","true"
"Triple Whale","triplewhale.com",,"http://www.triplewhale.com","http://www.linkedin.com/company/triple-whale","2021","21.6M",21600000,"Tier 1","true"
"Intelligence Node","intelligencenode.com",,"http://www.intelligencenode.com","http://www.linkedin.com/company/intelligencenode","2012","17M",17000000,"Tier 1","true"
"Quid","quid.com",,"http://www.quid.com","http://www.linkedin.com/company/quidofficial","2004","38.2M",38200000,"Tier 1","true"
"Typeface","typeface.ai",,"http://www.typeface.ai","http://www.linkedin.com/company/typefaceai","2022","34.3M",34300000,"Tier 1","true"
"GoGuardian","goguardian.com",,"http://www.goguardian.com","http://www.linkedin.com/company/goguardian","2014","147M",147000000,"Tier 1","true"
"Skit.ai","skit.ai",,"http://www.skit.ai","http://www.linkedin.com/company/skit-ai","2016","5M",5000000,"Tier 1","true"
"LocoNav","loconav.com",,"http://www.loconav.com","http://www.linkedin.com/company/loconav.com","2016","48.7M",48700000,"Tier 1","true"
"SandboxAQ","sandboxaq.com",,"http://www.sandboxaq.com","http://www.linkedin.com/company/sandboxaq","2021","17.8M",17800000,"Tier 1","false"
"AccuKnox","accuknox.com",,"http://www.accuknox.com","http://www.linkedin.com/company/accuknox","2020","16.5M",16500000,"Tier 1","true"
"Lacework","lacework.com",,"http://www.lacework.com","http://www.linkedin.com/company/lacework","2015","350M",350000000,"Tier 1","true"
"DroneUp","droneup.com",,"http://www.droneup.com","http://www.linkedin.com/company/godroneup","2016","8.8M",8800000,"Tier 1","false"
"Personetics","personetics.com",,"http://www.personetics.com","http://www.linkedin.com/company/personetics","2011","45M",45000000,"Tier 1","true"
"Venmo","venmo.com",,"http://www.venmo.com","http://www.linkedin.com/company/venmo","2009","1.7B",1700000000,"Tier 1","false"
"Earnix","earnix.com",,"http://www.earnix.com","http://www.linkedin.com/company/earnix","2001","100M",100000000,"Tier 1","false"
"Jasper","jasper.ai",,"http://www.jasper.ai","http://www.linkedin.com/company/heyjasperai","2020","88M",88000000,"Tier 1","true"
"TetraScience","tetrascience.com",,"http://www.tetrascience.com","http://www.linkedin.com/company/tetrascience","2019","24M",24000000,"Tier 1","true"
"Bird","bird.co",,"http://www.bird.co","http://www.linkedin.com/company/birdapp","2017","189.4M",189362000,"Tier 1","false"
"Muck Rack","muckrack.com",,"http://www.muckrack.com","http://www.linkedin.com/company/muckrack","2009","143.1M",143100000,"Tier 1","true"
"Alert Logic","alertlogic.com",,"http://www.alertlogic.com","http://www.linkedin.com/company/alert-logic","2002","150M",150000000,"Tier 1","true"
"Sensor Tower","sensortower.com",,"http://www.sensortower.com","http://www.linkedin.com/company/sensor-tower","2013","17M",17000000,"Tier 1","true"
"Devo","devo.com",,"http://www.devo.com","http://www.linkedin.com/company/devoinc","2011","70.6M",70600000,"Tier 1","true"
"CareStack™ - Dental Practice Management","carestack.com",,"http://www.carestack.com","http://www.linkedin.com/company/carestack","2015","126M",126000000,"Tier 1","true"
"Olo","olo.com",,"http://www.olo.com","http://www.linkedin.com/company/olo","2005","314.3M",314327000,"Tier 1","true"
"CloudBees","cloudbees.com",,"http://www.cloudbees.com","http://www.linkedin.com/company/cloudbees","2010","150M",150000000,"Tier 1","true"
"The Browser Company","thebrowser.company",,"http://www.thebrowser.company","http://www.linkedin.com/company/the-browser-company","2019","22.6M",22600000,"Tier 1","false"
"Second Front","secondfront.com",,"http://www.secondfront.com","http://www.linkedin.com/company/secondfront","2014","28M",28000000,"Tier 1","true"
"Mynd","mynd.co",,"http://www.mynd.co","http://www.linkedin.com/company/myndrealestate","2016","66.3M",66300000,"Tier 1","false"
"brightwheel","mybrightwheel.com",,"http://www.mybrightwheel.com","http://www.linkedin.com/company/brightwheel","2014","37.5M",37500000,"Tier 1","true"
"Redwood Software","redwood.com",,"http://www.redwood.com","http://www.linkedin.com/company/redwood-software","1993","76.7M",76700000,"Tier 1","true"
"Acorns","acorns.com",,"http://www.acorns.com","http://www.linkedin.com/company/acorns-grow-inc-","2012","262.9M",262900000,"Tier 1","true"
"CJ","cj.com",,"http://www.cj.com","http://www.linkedin.com/company/commission-junction","1998","502.2M",502200000,"Tier 1","false"
"Cognition","cognition.ai",,"http://www.cognition.ai","http://www.linkedin.com/company/cognition-ai-labs",,"155M",155000000,"Tier 1","true"
"Cordial","cordial.com",,"http://www.cordial.com","http://www.linkedin.com/company/becordial","2014","17.2M",17200000,"Tier 1","true"
"LambdaTest is now TestMu AI","lambdatest.com",,"http://www.lambdatest.com","http://www.linkedin.com/company/lambdatest","2018","21M",21000000,"Tier 1","true"
"inFeedo AI","infeedo.ai",,"http://www.infeedo.ai","http://www.linkedin.com/company/infeedo","2016","16.1M",16100000,"Tier 1","true"
"Aryaka","aryaka.com",,"http://www.aryaka.com","http://www.linkedin.com/company/aryaka-networks","2009","125M",125000000,"Tier 1","true"
"SingleStore","singlestore.com",,"http://www.singlestore.com","http://www.linkedin.com/company/singlestore","2011","123M",123000000,"Tier 1","true"
"Sendoso","sendoso.com",,"http://www.sendoso.com","http://www.linkedin.com/company/sendoso","2016","84.8M",84800000,"Tier 1","true"
"Wattpad","wattpad.com",,"http://www.wattpad.com","http://www.linkedin.com/company/wattpad","2006","50.3M",50300000,"Tier 1","true"
"Filevine","filevine.com",,"http://www.filevine.com","http://www.linkedin.com/company/filevine","2015","105M",105000000,"Tier 1","true"
"BlueJeans by Verizon","bluejeans.com",,"http://www.bluejeans.com","http://www.linkedin.com/company/bluejeans-by-verizon","2009","100M",100000000,"Tier 1","true"
"AlayaCare","alayacare.com",,"http://www.alayacare.com","http://www.linkedin.com/company/alayacare-inc","2014","100.3M",100300000,"Tier 1","true"
"Scienaptic AI","scienaptic.ai",,"http://www.scienaptic.ai","http://www.linkedin.com/company/scienaptic-ai","2014","16.7M",16700000,"Tier 1","true"
"Carbon","carbon3d.com",,"http://www.carbon3d.com","http://www.linkedin.com/company/carbon","2013","100M",100000000,"Tier 1","false"
"Iterable","iterable.com",,"http://www.iterable.com","http://www.linkedin.com/company/iterable","2013","167.2M",167200000,"Tier 1","true"
"NetSPI","netspi.com",,"http://www.netspi.com","http://www.linkedin.com/company/netspi","2001","175.7M",175700000,"Tier 1","false"
"lemlist","lemlist.com",,"http://www.lemlist.com","http://www.linkedin.com/company/lemlist","2018","28M",28000000,"Tier 1","true"
"Locus","locus.sh",,"http://www.locus.sh","http://www.linkedin.com/company/locus-sh","2015","35.3M",35300000,"Tier 1","true"
"PermitFlow","permitflow.com",,"http://www.permitflow.com","http://www.linkedin.com/company/permitflow","2021","26.7M",26700000,"Tier 1","true"
"Bidgely","bidgely.com",,"http://www.bidgely.com","http://www.linkedin.com/company/bidgely","2011","31.2M",31200000,"Tier 1","true"
"Classera","classera.com",,"http://www.classera.com","http://www.linkedin.com/company/classera-inc-","2012","4.6M",4555000,"Tier 1","true"
"Nuvolo","nuvolo.com",,"http://www.nuvolo.com","http://www.linkedin.com/company/nuvolo","2013","31.5M",31500000,"Tier 1","true"
"Increff","increff.com",,"http://www.increff.com","http://www.linkedin.com/company/increff","2016","12.9M",12900000,"Tier 1","true"
"LaunchDarkly","launchdarkly.com",,"http://www.launchdarkly.com","http://www.linkedin.com/company/launchdarkly","2014","200M",200000000,"Tier 1","true"
"InvoiceCloud, Inc.","invoicecloud.net",,"http://www.invoicecloud.net","http://www.linkedin.com/company/invoice-cloud-inc","2009","35M",35000000,"Tier 1","true"
"Helpshift","helpshift.com",,"http://www.helpshift.com","http://www.linkedin.com/company/helpshift","2011","21.2M",21200000,"Tier 1","true"
"Tango","tangoanalytics.com",,"http://www.tangoanalytics.com","http://www.linkedin.com/company/tango-analytics","2008","33.4M",33400000,"Tier 1","true"
"Benchling","benchling.com",,"http://www.benchling.com","http://www.linkedin.com/company/benchling","2012","210M",210000000,"Tier 1","true"
"Suzy","suzy.com",,"http://www.suzy.com","http://www.linkedin.com/company/asksuzy","2017","50M",50000000,"Tier 1","true"
"IVP","ivp.com",,"http://www.ivp.com","http://www.linkedin.com/company/ivpvc","1980","5.5M",5500000,"Tier 1","false"
"Newforma","newforma.com",,"http://www.newforma.com","http://www.linkedin.com/company/newforma-inc","2003","31.9M",31900000,"Tier 1","true"
"WeTravel","wetravel.com",,"http://www.wetravel.com","http://www.linkedin.com/company/wetravel","2016","74.8M",74800000,"Tier 1","true"
"ClearCo","clearcompany.com",,"http://www.clearcompany.com","http://www.linkedin.com/company/clearcompany-talent-management-software","2004","52.9M",52900000,"Tier 1","true"
"Totango","totango.com",,"http://www.totango.com","http://www.linkedin.com/company/totango","2010","25.4M",25400000,"Tier 1","true"
"Rocketlane","rocketlane.com",,"http://www.rocketlane.com","http://www.linkedin.com/company/rocketlane","2020","12.5M",12500000,"Tier 1","true"
"Kalshi","kalshi.com",,"http://www.kalshi.com","http://www.linkedin.com/company/kalshi","2019","263.5M",263500000,"Tier 1","false"
"Climate","climate.com",,"http://www.climate.com","http://www.linkedin.com/company/climate-llc","2006","206.2M",206200000,"Tier 1","true"
"Gametime","gametime.co",,"http://www.gametime.co","http://www.linkedin.com/company/gametime-united","2013","24M",24000000,"Tier 1","false"
"DevRev","devrev.ai",,"http://www.devrev.ai","http://www.linkedin.com/company/devrev","2020","169M",169000000,"Tier 1","true"
"ZOLA iNTELLIGENCE","zolaintelligence.com",,"http://www.zolaintelligence.com","http://www.linkedin.com/company/zolaintelligence","2023","22M",22000000,"Tier 1","false"
"GoCanvas","gocanvas.com",,"http://www.gocanvas.com","http://www.linkedin.com/company/gocanvas","2008","35.1M",35100000,"Tier 1","true"
"Workleap","workleap.com",,"http://www.workleap.com","http://www.linkedin.com/company/workleaphq","2006","108.8M",108800000,"Tier 1","true"
"PulsePoint","pulsepoint.com",,"http://www.pulsepoint.com","http://www.linkedin.com/company/pulsepoint","2011","29.5M",29500000,"Tier 1","true"
"Pythian","pythian.com",,"http://www.pythian.com","http://www.linkedin.com/company/pythian","1997","120M",120000000,"Tier 1","false"
"Persona","withpersona.com",,"http://www.withpersona.com","http://www.linkedin.com/company/persona-identities","2018","141.2M",141200000,"Tier 1","true"
"RudderStack","rudderstack.com",,"http://www.rudderstack.com","http://www.linkedin.com/company/rudderstack","2019","16.3M",16300000,"Tier 1","true"
"Second Nature","secondnature.com",,"http://www.secondnature.com","http://www.linkedin.com/company/secondnaturenow","2012","30M",30000000,"Tier 1","false"
"Teikametrics","teikametrics.com",,"http://www.teikametrics.com","http://www.linkedin.com/company/teikametrics","2015","45.1M",45100000,"Tier 1","true"
"Pipe","pipe.com",,"http://www.pipe.com","http://www.linkedin.com/company/pipetechnologies","2019","42M",42000000,"Tier 1","false"
"Superhuman Mail","superhuman.com",,"http://www.superhuman.com","http://www.linkedin.com/company/superhuman-co","2015","35M",35000000,"Tier 1","true"
"Dashlane","dashlane.com",,"http://www.dashlane.com","http://www.linkedin.com/company/dashlane","2009","113.4M",113400000,"Tier 1","true"
"ada CX","ada.cx",,"http://www.ada.cx","http://www.linkedin.com/company/ada-cx","2016","70.6M",70600000,"Tier 1","true"
"Ellevation Education","ellevationeducation.com",,"http://www.ellevationeducation.com","http://www.linkedin.com/company/ellevation-education","2011","37M",37000000,"Tier 1","true"
"Cheetah Digital by Marigold","cheetahdigital.com",,"http://www.cheetahdigital.com","http://www.linkedin.com/company/cheetahdigitalbymarigold","1998","300M",300000000,"Tier 1","true"
"Botify","botify.com",,"http://www.botify.com","http://www.linkedin.com/company/botify","2012","18.1M",18100000,"Tier 1","true"
"ELB Learning","elblearning.com",,"http://www.elblearning.com","http://www.linkedin.com/company/elblearning","2009","43.7M",43700000,"Tier 1","true"
"Asper.ai","asper.ai",,"http://www.asper.ai","http://www.linkedin.com/company/asperai","2022","",,"Tier 1","true"
"TCV","tcv.com",,"http://www.tcv.com","http://www.linkedin.com/company/technology-crossover-ventures","1995","12M",12000000,"Tier 1","false"
"Highspot","highspot.com",,"http://www.highspot.com","http://www.linkedin.com/company/highspot","2012","450M",450000000,"Tier 1","true"
"GTMfund","gtmfund.com",,"http://www.gtmfund.com","http://www.linkedin.com/company/gtmfund","2020","1.7M",1700000,"Tier 1","false"
"N3","n3realestate.com",,"http://www.n3realestate.com","http://www.linkedin.com/company/n3","2004","",,"Tier 1","false"
"Plex, by Rockwell Automation","",,"","http://www.linkedin.com/company/plex-by-rockwell-automation","1995","165.9M",165900000,"Tier 1",
"TEOCO","teoco.com",,"http://www.teoco.com","http://www.linkedin.com/company/teoco","1994","200M",200000000,"Tier 1","true"
"myKaarma","mykaarma.com",,"http://www.mykaarma.com","http://www.linkedin.com/company/mykaarma","2012","28.4M",28400000,"Tier 1","true"
"AiDASH","aidash.com",,"http://www.aidash.com","http://www.linkedin.com/company/aidash","2019","94.6M",94600000,"Tier 1","true"
"Kustomer","kustomer.com",,"http://www.kustomer.com","http://www.linkedin.com/company/kustomer","2015","23.2M",23200000,"Tier 1","true"
"Decisions","decisions.com",,"http://www.decisions.com","http://www.linkedin.com/company/decisions","2010","33M",33000000,"Tier 1","true"
"LastPass","lastpass.com",,"http://www.lastpass.com","http://www.linkedin.com/company/lastpass","2008","90.5M",90500000,"Tier 1","true"
"Maze","maze.co",,"http://www.maze.co","http://www.linkedin.com/company/mazedesign","2018","20.4M",20400000,"Tier 1","true"
"Attentive.ai","attentive.ai",,"http://www.attentive.ai","http://www.linkedin.com/company/attentive.ai","2017","57.9M",57900000,"Tier 1","true"
"The Daily Wire","dailywire.com",,"http://www.dailywire.com","http://www.linkedin.com/company/thedailywire","2015","200M",200000000,"Tier 1","false"
"TraceLink","tracelink.com",,"http://www.tracelink.com","http://www.linkedin.com/company/tracelink","2009","213.5M",213500000,"Tier 1","true"
"Profit.co","profit.co",,"http://www.profit.co","http://www.linkedin.com/company/profit-the-metric","2018","5.4M",5400000,"Tier 1","true"
"GRIN","grin.co",,"http://www.grin.co","http://www.linkedin.com/company/grin-inc-","2014","17.3M",17300000,"Tier 1","true"
"Novo","novo.co",,"http://www.novo.co","http://www.linkedin.com/company/novo-hq","2016","129.2M",129200000,"Tier 1","false"
"CARTO","carto.com",,"http://www.carto.com","http://www.linkedin.com/company/carto","2012","28.9M",28900000,"Tier 1","true"
"Google Cloud Security","siemplify.co",,"http://www.siemplify.co","http://www.linkedin.com/company/googlecloudsecurity","2018","50M",50000000,"Tier 1","true"
"ReversingLabs","reversinglabs.com",,"http://www.reversinglabs.com","http://www.linkedin.com/company/reversinglabs","2009","82.9M",82900000,"Tier 1","true"
"M-Files","m-files.com",,"http://www.m-files.com","http://www.linkedin.com/company/m-files-corporation","2002","100M",100000000,"Tier 1","true"
"Popmenu","popmenu.com",,"http://www.popmenu.com","http://www.linkedin.com/company/popmenu","2016","59.2M",59200000,"Tier 1","true"
"Driivz","driivz.com",,"http://www.driivz.com","http://www.linkedin.com/company/driivz","2013","25M",25000000,"Tier 1","true"
"BigPanda","bigpanda.io",,"http://www.bigpanda.io","http://www.linkedin.com/company/bigpanda","2012","55M",55000000,"Tier 1","true"
"eLocal","elocal.com",,"http://www.elocal.com","http://www.linkedin.com/company/elocal","2008","9.8M",9800000,"Tier 1","false"
"8VC","8vc.com",,"http://www.8vc.com","http://www.linkedin.com/company/8vc","2015","20M",20000000,"Tier 1","false"
"Vendr","vendr.com",,"http://www.vendr.com","http://www.linkedin.com/company/vendr-co","2019","94.8M",94800000,"Tier 1","true"
"Island","island.io",,"http://www.island.io","http://www.linkedin.com/company/island-io","2020","87M",87000000,"Tier 1","true"
"Ethoca","ethoca.com",,"http://www.ethoca.com","http://www.linkedin.com/company/ethoca-limited","2005","40M",40000000,"Tier 1","false"
"Zone & Co","zoneandco.com",,"http://www.zoneandco.com","http://www.linkedin.com/company/zoneandco","2013","22.1M",22100000,"Tier 1","false"
"Advanced Solutions International, Inc.","advsol.com",,"http://www.advsol.com","http://www.linkedin.com/company/advanced-solutions-international-inc.","1991","52.4M",52400000,"Tier 1","true"
"Jungle Scout","junglescout.com",,"http://www.junglescout.com","http://www.linkedin.com/company/junglescout","2015","19.8M",19800000,"Tier 1","true"
"Bitly","bitly.com",,"http://www.bitly.com","http://www.linkedin.com/company/bitly","2008","100M",100000000,"Tier 1","true"
"Aviso AI","aviso.com",,"http://www.aviso.com","http://www.linkedin.com/company/aviso-inc","2014","37M",37000000,"Tier 1","true"
"FloQast","floqast.com",,"http://www.floqast.com","http://www.linkedin.com/company/floqast","2013","200M",200000000,"Tier 1","true"
"Pathrise","pathrise.com",,"http://www.pathrise.com","http://www.linkedin.com/school/pathrise","2017","42.3M",42300000,"Tier 1","false"
"Roboflow","roboflow.com",,"http://www.roboflow.com","http://www.linkedin.com/company/roboflow-ai","2019","9.6M",9600000,"Tier 1","true"
"Carnegie Learning","carnegielearning.com",,"http://www.carnegielearning.com","http://www.linkedin.com/company/carnegie-learning","1994","320.7M",320700000,"Tier 1","true"
"Allyis","allyis.com",,"http://www.allyis.com","http://www.linkedin.com/company/allyis","1996","39.6M",39600000,"Tier 1","false"
"Shoplazza","shoplazza.com",,"http://www.shoplazza.com","http://www.linkedin.com/company/shoplazza","2017","33.8M",33800000,"Tier 1","true"
"BillingPlatform","billingplatform.com",,"http://www.billingplatform.com","http://www.linkedin.com/company/billingplatform","2012","25.3M",25300000,"Tier 1","true"
"Optiva Inc.","optiva.com",,"http://www.optiva.com","http://www.linkedin.com/company/optivainc","1999","45.8M",45828000,"Tier 1","true"
"Campaign Monitor by Marigold","campaignmonitor.com",,"http://www.campaignmonitor.com","http://www.linkedin.com/company/campaign-monitor","2004","60M",60000000,"Tier 1","true"
"Aurora Solar","aurorasolar.com",,"http://www.aurorasolar.com","http://www.linkedin.com/company/aurora-solar","2013","35M",35000000,"Tier 1","true"
"CharterUP","charterup.com",,"http://www.charterup.com","http://www.linkedin.com/company/charterup","2018","24M",24000000,"Tier 1","true"
"Xanadu","xanadu.ai",,"http://www.xanadu.ai","http://www.linkedin.com/company/xanaduai","2016","123.4M",123400000,"Tier 1","false"
"Contentstack","contentstack.com",,"http://www.contentstack.com","http://www.linkedin.com/company/contentstack","2018","100.9M",100900000,"Tier 1","true"
"Draup","draup.com",,"http://www.draup.com","http://www.linkedin.com/company/draupplatform","2018","57.8M",57800000,"Tier 1","true"
"COFENSE","cofense.com",,"http://www.cofense.com","http://www.linkedin.com/company/cofense","2011","55.5M",55500000,"Tier 1","true"
"Greenly | Certified B Corp","greenly.earth",,"http://www.greenly.earth","http://www.linkedin.com/company/greenly-earth","2019","110.3M",110300000,"Tier 1","true"
"Goldcast","goldcast.io",,"http://www.goldcast.io","http://www.linkedin.com/company/goldcast","2020","10.8M",10800000,"Tier 1","true"
"Chainguard","chainguard.dev",,"http://www.chainguard.dev","http://www.linkedin.com/company/chainguard-dev","2021","40M",40000000,"Tier 1","true"
"Arcadia","arcadia.com",,"http://www.arcadia.com","http://www.linkedin.com/company/arcadiahq","2014","270M",270000000,"Tier 1","true"
"AppOmni","appomni.com",,"http://www.appomni.com","http://www.linkedin.com/company/appomni","2018","54.4M",54400000,"Tier 1","true"
"iCrossing","icrossing.com",,"http://www.icrossing.com","http://www.linkedin.com/company/icrossing","1998","160M",160000000,"Tier 1","false"
"Recurly","recurly.com",,"http://www.recurly.com","http://www.linkedin.com/company/recurly","2009","71M",71000000,"Tier 1","true"
"CHAMP","champtitles.com",,"http://www.champtitles.com","http://www.linkedin.com/company/champtitles","2018","13.2M",13200000,"Tier 1","true"
"Farmers Edge","farmersedge.ca",,"http://www.farmersedge.ca","http://www.linkedin.com/company/farmers-edge","2005","15.5M",15547000,"Tier 1","true"
"UnifyApps","unifyapps.com",,"http://www.unifyapps.com","http://www.linkedin.com/company/unifyapps","2023","18.7M",18700000,"Tier 1","false"
"Airalo","airalo.com",,"http://www.airalo.com","http://www.linkedin.com/company/airalocom","2019","103.8M",103800000,"Tier 1","false"
"Teleport","goteleport.com",,"http://www.goteleport.com","http://www.linkedin.com/company/go-teleport","2015","49M",49000000,"Tier 1","true"
"Scribe","scribe.com",,"http://www.scribe.com","http://www.linkedin.com/company/scribehow","2019","12.5M",12500000,"Tier 1","true"
"Next Insurance","nextinsurance.com",,"http://www.nextinsurance.com","http://www.linkedin.com/company/nextinsurance","2016","548M",548000000,"Tier 1","false"
"Solutions by Text","solutionsbytext.com",,"http://www.solutionsbytext.com","http://www.linkedin.com/company/solutionsbytext","2008","80M",80000000,"Tier 1","true"
"Humand","humand.co",,"http://www.humand.co","http://www.linkedin.com/company/humand-co","2019","49.8M",49800000,"Tier 1","true"
"UniUni","uniuni.com",,"http://www.uniuni.com","http://www.linkedin.com/company/uniunidelivery","2019","101.5M",101500000,"Tier 1","false"
"Otter.ai","otter.ai",,"http://www.otter.ai","http://www.linkedin.com/company/otter-ai","2016","100M",100000000,"Tier 1","true"
"EV Connect","evconnect.com",,"http://www.evconnect.com","http://www.linkedin.com/company/ev-connect","2009","33.2M",33200000,"Tier 1","true"
"Vidyard","vidyard.com",,"http://www.vidyard.com","http://www.linkedin.com/company/vidyard","2011","47.7M",47700000,"Tier 1","true"
"Vectra AI","vectra.ai",,"http://www.vectra.ai","http://www.linkedin.com/company/vectra_ai","2011","150M",150000000,"Tier 1","true"
"Partnerize","partnerize.com",,"http://www.partnerize.com","http://www.linkedin.com/company/partnerize","2010","65.7M",65700000,"Tier 1","true"
"Lavender 💜🔮 www.ora.im","lavender.ai",,"http://www.lavender.ai","http://www.linkedin.com/company/itslavenderduh","2020","11.9M",11900000,"Tier 1","true"
"Socure","socure.com",,"http://www.socure.com","http://www.linkedin.com/company/socure","2012","125.4M",125400000,"Tier 1","true"
"Current Health","currenthealth.com",,"http://www.currenthealth.com","http://www.linkedin.com/company/currenthealth","2015","50M",50000000,"Tier 1","true"
"Achievers","achievers.com",,"http://www.achievers.com","http://www.linkedin.com/company/achievers","2002","75M",75000000,"Tier 1","true"
"Mastercard Dynamic Yield","dynamicyield.com",,"http://www.dynamicyield.com","http://www.linkedin.com/company/dynamic-yield","2011","85M",85000000,"Tier 1","true"
