"Company Name","Domain","New Column","Website","LinkedIn URL","Founded Year","Revenue","Revenue (USD)","Tier","SaaS Status & Reason"
"Luxury Presence","luxurypresence.com",,"http://www.luxurypresence.com","http://www.linkedin.com/company/luxurypresence","2016","85M",85000000,"Tier 1","true"
"dbt Labs","getdbt.com",,"http://www.getdbt.com","http://www.linkedin.com/company/dbtlabs","2016","100M",100000000,"Tier 1","true"
"SQUIRE","getsquire.com",,"http://www.getsquire.com","http://www.linkedin.com/company/squ%c4%abr-technologies","2015","102.5M",102500000,"Tier 1","true"
"Astronomer","astronomer.io",,"http://www.astronomer.io","http://www.linkedin.com/company/astronomer","2018","39.5M",39500000,"Tier 1","true"
"HeadSpin","headspin.io",,"http://www.headspin.io","http://www.linkedin.com/company/headspin","2015","20M",20000000,"Tier 1","true"
"Huntress","huntress.com",,"http://www.huntress.com","http://www.linkedin.com/company/huntress-labs","2015","100M",100000000,"Tier 1","true"
"Betterworks","betterworks.com",,"http://www.betterworks.com","http://www.linkedin.com/company/betterworks","2013","41.7M",41700000,"Tier 1","true"
"Bik.ai","bik.ai",,"http://www.bik.ai","http://www.linkedin.com/company/bikglobal","2022","1.5M",1500000,"Tier 1","true"
"Checkmarx","checkmarx.com",,"http://www.checkmarx.com","http://www.linkedin.com/company/checkmarx","2006","150M",150000000,"Tier 1","true"
"FreshBooks","freshbooks.com",,"http://www.freshbooks.com","http://www.linkedin.com/company/freshbooks","2003","120M",120000000,"Tier 1","true"
"Synack","",,"","http://www.linkedin.com/company/synack-inc-","2013","10M",10000000,"Tier 1",
"Pipedrive","pipedrive.com",,"http://www.pipedrive.com","http://www.linkedin.com/company/pipedrive","2010","222M",222000000,"Tier 1","true"
"Bubble","bubble.io",,"http://www.bubble.io","http://www.linkedin.com/company/bubble","2012","74.2M",74200000,"Tier 1","true"
"REEF","reeftechnology.com",,"http://www.reeftechnology.com","http://www.linkedin.com/company/reeftechnology","2019","3.4B",3400000000,"Tier 1","true"
"Flam","flamapp.ai",,"http://www.flamapp.ai","http://www.linkedin.com/company/flamappofficial","2021","1M",1000000,"Tier 1","false"
"Celigo","celigo.com",,"http://www.celigo.com","http://www.linkedin.com/company/celigo-inc","2011","92M",92000000,"Tier 1","true"
"Replicon","replicon.com",,"http://www.replicon.com","http://www.linkedin.com/company/replicon","1996","68M",68000000,"Tier 1","true"
"CleverTap","clevertap.com",,"http://www.clevertap.com","http://www.linkedin.com/company/clevertap","2013","120M",120000000,"Tier 1","true"
"Pipefy","pipefy.com",,"http://www.pipefy.com","http://www.linkedin.com/company/pipefy","2015","65.9M",65900000,"Tier 1","true"
"OPSWAT","opswat.com",,"http://www.opswat.com","http://www.linkedin.com/company/opswat","2002","121.8M",121800000,"Tier 1","true"
